177         127.0.0.1   51565   127.0.0.1   1883    MQTT    211 Publish Message (id=3) [factory/department1/section2/hydraulic_valve],Publish Message (id=3) [factory/department1/section2/hydraulic_valve] 7b226964223a20224163747561746f7220393239222c202276616c7565223a2032342c20226c6174223a20313330302c20226c6e67223a20313433302c2022756e6974223a20222e222c202274797065223a20224d6f74696f6e227d
178         127.0.0.1   1883    127.0.0.1   51565   MQTT    72  Publish Received (id=3),Publish Received (id=3) 
228         10.0.2.15   55983   18.185.199.22   1883    MQTT    71  Connect Command,Connect Command 
232         10.0.2.15   55983   18.185.199.22   1883    MQTT    199 Publish Message (id=1) [factory/department1/section1/hydraulic_valve],Publish Message (id=1) [factory/department1/section1/hydraulic_valve] 7b226964223a20224163747561746f7220393239222c202276616c7565223a20322c20226c6174223a20313330302c20226c6e67223a20313433302c2022756e6974223a20222e222c202274797065223a20224d6f74696f6e227d
257         127.0.0.1   33867   127.0.0.1   1883    MQTT    102 Connect Command,Connect Command 
259         127.0.0.1   1883    127.0.0.1   33867   MQTT    72  Connect Ack[Malformed Packet],Connect Ack[Malformed Packet] 
264         127.0.0.1   33867   127.0.0.1   1883    MQTT    120 Subscribe Request (id=1) [factory/department3/section4/hydraulic_valve],Subscribe Request (id=1) [factory/department3/section4/hydraulic_valve] 
278         127.0.0.1   41475   127.0.0.1   1883    MQTT    96  Connect Command,Connect Command 
282         127.0.0.1   41475   127.0.0.1   1883    MQTT    200 Publish Message (id=1) [factory/department1/section4/plc],Publish Message (id=1) [factory/department1/section4/plc] 7b226964223a20224163747561746f722031222c202276616c7565223a2032302c20226c6174223a203134332c20226c6e67223a203130322c2022756e6974223a20226d222c202274797065223a2022726f626f7469632061726d227d
291         127.0.0.1   1883    127.0.0.1   41475   MQTT    72  Connect Ack,Connect Ack 
293         127.0.0.1   1883    127.0.0.1   41475   MQTT    72  Publish Received (id=1),Publish Received (id=1) 
305         18.185.199.22   1883    10.0.2.15   55983   MQTT    114 Connect Ack,Connect Ack 
308         18.185.199.22   1883    10.0.2.15   55983   MQTT    62  Publish Received (id=1),Publish Received (id=1) 
322         127.0.0.1   41869   127.0.0.1   1883    MQTT    95  Connect Command,Connect Command 
325         127.0.0.1   1883    127.0.0.1   41869   MQTT    72  Connect Ack[Malformed Packet],Connect Ack[Malformed Packet] 
359         10.0.2.15   43541   18.185.199.22   1883    MQTT    71  Connect Command,Connect Command 
364         10.0.2.15   43541   18.185.199.22   1883    MQTT    96  Subscribe Request (id=1) [factory/department2/section5/plc],Subscribe Request (id=1) [factory/department2/section5/plc] 
368         10.0.2.15   43541   18.185.199.22   1883    MQTT    189 Publish Message (id=2) [factory/department2/section4/deposit],Publish Message (id=2) [factory/department2/section4/deposit] 7b226964223a202253656e736f722033222c202276616c7565223a20313332362c20226c6174223a2039302c20226c6e67223a2031302c2022756e6974223a20222f25222c202274797065223a202268756d6964697479227d
387         10.0.2.15   55143   3.120.68.56 1883    MQTT    71  Connect Command,Connect Command 
